SA2_MAIN16,localities,no_vehicle,hospital,police_station,fire_station,ambulance_station,ses_facility
101021010,"Canberra - Queanbeyan (Queanbeyan Part), Remainder of State/Territory (ACT), Remainder of State/Territory (NSW)",7,0,0,2,0,0
101021009,Canberra - Queanbeyan (Queanbeyan Part),8.8,1,1,1,1,1
101021008,"Canberra - Queanbeyan (Queanbeyan Part), Remainder of State/Territory (NSW)",6.7,0,0,0,0,0
101031014,"Cooma, Remainder of State/Territory (NSW)",9.9,1,1,2,1,1
101021012,"Canberra - Queanbeyan (Canberra Part), Canberra - Queanbeyan (Queanbeyan Part), Remainder of State/Territory (NSW)",2.4,0,0,0,0,0
101041021,"Broulee - Mossy Point, Remainder of State/Territory (NSW), Tomakin",3.7,0,0,1,0,0
101041017,"Batemans Bay, Long Beach (L), Maloneys Beach (L), Remainder of State/Territory (NSW)",7.6,1,1,3,0,1
101041018,"Batemans Bay, Malua Bay, Remainder of State/Territory (NSW), Tomakin",6.4,0,0,2,1,0
101041019,"Bega, Kalaru (L), Remainder of State/Territory (NSW), Tarraganda (L), Tathra",5.6,1,2,5,1,1
101031013,"Bombala, Delegate (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.)",18,2,2,10,1,1
101041023,"Eden, Remainder of State/Territory (NSW)",8.6,0,1,2,1,1
101041025,"Merimbula, Pambula, Remainder of State/Territory (NSW), South Pambula (L)",6.1,1,1,3,1,0
101041026,"Moruya, Moruya Heads (L), Remainder of State/Territory (NSW), Tuross Head",4.5,1,1,4,1,1
101021007,"Braidwood, Remainder of State/Territory (NSW)",2.7,1,1,11,1,1
101031016,"Berridale (L), East Jindabyne (L), Jindabyne, Lakewood Estate (L), Perisher Village (L), Remainder of State/Territory (NSW), Remainder of State/Territory (Vic.), Thredbo Village (L)",2.3,0,4,16,2,1
101041022,No localities found,-999,0,0,0,0,0
101061541,No localities found,4.7,1,1,1,1,1
101061543,No localities found,8.2,2,1,5,1,1
101021011,"Bungendore, Canberra - Queanbeyan (Canberra Part), Canberra - Queanbeyan (Queanbeyan Part), Captains Flat (L), Googong, Remainder of State/Territory (ACT), Remainder of State/Territory (NSW)",0.9,0,4,13,0,2
102011029,Central Coast,3.5,0,0,3,0,0
101031015,"Adaminaby (L), Nimmitabel (L), Remainder of State/Territory (ACT), Remainder of State/Territory (NSW)",2.3,0,2,12,0,1
101051539,"Goulburn, Remainder of State/Territory (NSW)",9.3,3,1,3,1,2
102011028,Central Coast,0.8,0,0,2,0,0
102011031,"Central Coast, Remainder of State/Territory (NSW)",9.1,0,0,2,0,1
102011032,"Central Coast, Remainder of State/Territory (NSW)",13.9,1,1,1,0,0
102011033,"Central Coast, Remainder of State/Territory (NSW)",1.8,0,0,3,0,0
102011034,Central Coast,7.5,0,0,1,0,0
101041024,"Batemans Bay, Bawley Point (L), Bodalla (L), Broulee - Mossy Point, Dalmeny, Kioloa (L), Long Beach (L), Mogo (L), Nelligen (L), Remainder of State/Territory (NSW), South Durras (L), Tomakin, Tuross Head",1.7,0,1,9,0,0
102011035,"Central Coast, Remainder of State/Territory (NSW)",4.4,0,0,1,0,0
