Date,Total_Water,Storage,Percentage_Fulll
31/12/1991,"2,188,900","2,390,400",91.6
5/01/1992,"2,190,350","2,390,400",91.6
10/01/1992,"2,191,800","2,390,400",91.7
15/01/1992,"2,196,000","2,390,400",91.9
20/01/1992,"2,200,200","2,390,400",92
25/01/1992,"2,201,250","2,390,400",92.1
31/01/1992,"2,202,300","2,390,400",92.1
5/02/1992,"2,275,200","2,390,400",95.2
10/02/1992,"2,348,100","2,390,400",98.2
15/02/1992,"2,364,750","2,390,400",98.9
20/02/1992,"2,344,000","2,390,400",98.1
25/02/1992,"2,307,550","2,390,400",96.5
29/02/1992,"2,271,100","2,390,400",95
5/03/1992,"2,274,250","2,390,400",95.1
10/03/1992,"2,277,400","2,390,400",95.3
15/03/1992,"2,268,200","2,390,400",94.9
20/03/1992,"2,259,000","2,390,400",94.5
25/03/1992,"2,259,450","2,390,400",94.5
31/03/1992,"2,259,900","2,390,400",94.5
5/04/1992,"2,257,750","2,390,400",94.5
10/04/1992,"2,255,600","2,390,400",94.4
15/04/1992,"2,249,900","2,390,400",94.1
20/04/1992,"2,244,200","2,390,400",93.9
25/04/1992,"2,244,300","2,390,400",93.9
30/04/1992,"2,244,400","2,390,400",93.9
5/05/1992,"2,237,950","2,390,400",93.6
10/05/1992,"2,231,500","2,390,400",93.4
15/05/1992,"2,225,900","2,390,400",93.1
20/05/1992,"2,220,300","2,390,400",92.9
25/05/1992,"2,216,850","2,390,400",92.7
31/05/1992,"2,213,400","2,390,400",92.6
5/06/1992,"2,207,100","2,390,400",92.3
10/06/1992,"2,200,800","2,390,400",92.1
15/06/1992,"2,192,650","2,390,400",91.7
20/06/1992,"2,184,500","2,390,400",91.4
25/06/1992,"2,191,400","2,390,400",91.7
30/06/1992,"2,198,300","2,390,400",92
5/07/1992,"2,196,900","2,390,400",91.9
10/07/1992,"2,191,500","2,390,400",91.7
15/07/1992,"2,183,200","2,390,400",91.3
20/07/1992,"2,181,000","2,390,400",91.2
25/07/1992,"2,175,900","2,390,400",91
31/07/1992,"2,168,000","2,382,200",91
5/08/1992,"2,159,200","2,382,200",90.6
10/08/1992,"2,153,500","2,382,200",90.4
15/08/1992,"2,153,100","2,382,200",90.4
20/08/1992,"2,144,500","2,382,200",90
25/08/1992,"2,138,000","2,382,200",89.7
31/08/1992,"2,129,500","2,382,200",89.4
5/09/1992,"2,126,000","2,382,200",89.2
10/09/1992,"2,122,600","2,382,200",89.1
15/09/1992,"2,118,100","2,382,200",88.9
20/09/1992,"2,113,000","2,382,200",88.7
25/09/1992,"2,107,400","2,382,200",88.5
30/09/1992,"2,103,600","2,382,200",88.3
5/10/1992,"2,096,300","2,382,200",88
10/10/1992,"2,091,200","2,382,200",87.8
15/10/1992,"2,084,300","2,382,200",87.5
20/10/1992,"2,080,400","2,382,200",87.3
25/10/1992,"2,079,500","2,382,200",87.3
31/10/1992,"2,072,600","2,382,200",87
5/11/1992,"2,075,100","2,382,200",87.1
10/11/1992,"2,075,300","2,382,200",87.1
15/11/1992,"2,068,600","2,382,200",86.8
20/11/1992,"2,064,600","2,382,200",86.7
25/11/1992,"2,063,200","2,382,200",86.6
30/11/1992,"2,053,300","2,382,200",86.2
5/12/1992,"2,054,500","2,382,200",86.2
10/12/1992,"2,088,200","2,382,200",87.7
15/12/1992,"2,091,100","2,382,200",87.8
20/12/1992,"2,106,100","2,382,200",88.4
25/12/1992,"2,139,000","2,382,200",89.8
31/12/1992,"2,160,200","2,382,200",90.7
5/01/1993,"2,160,000","2,382,200",90.7
10/01/1993,"2,162,600","2,382,200",90.8
15/01/1993,"2,155,700","2,382,200",90.5
20/01/1993,"2,147,600","2,382,200",90.2
25/01/1993,"2,146,200","2,382,200",90.1
31/01/1993,"2,140,100","2,382,200",89.8
5/02/1993,"2,128,500","2,382,200",89.4
10/02/1993,"2,118,900","2,382,200",88.9
15/02/1993,"2,118,300","2,382,200",88.9
20/02/1993,"2,122,700","2,382,200",89.1
25/02/1993,"2,113,400","2,382,200",88.7
28/02/1993,"2,109,300","2,382,200",88.5
5/03/1993,"2,097,500","2,382,200",88
10/03/1993,"2,096,900","2,382,200",88
15/03/1993,"2,094,900","2,382,200",87.9
20/03/1993,"2,095,500","2,382,200",88
25/03/1993,"2,093,400","2,382,200",87.9
31/03/1993,"2,095,700","2,382,200",88
5/04/1993,"2,091,000","2,382,200",87.8
10/04/1993,"2,083,100","2,382,200",87.4
15/04/1993,"2,074,800","2,382,200",87.1
20/04/1993,"2,070,200","2,382,200",86.9
25/04/1993,"2,061,800","2,382,200",86.6
30/04/1993,"2,054,200","2,382,200",86.2
5/05/1993,"2,047,100","2,382,200",85.9
10/05/1993,"2,037,800","2,382,200",85.5
15/05/1993,"2,030,300","2,382,200",85.2
20/05/1993,"2,022,600","2,382,200",84.9
25/05/1993,"2,014,300","2,382,200",84.6
31/05/1993,"2,004,500","2,382,200",84.1
5/06/1993,"1,999,400","2,382,200",83.9
10/06/1993,"1,993,100","2,382,200",83.7
15/06/1993,"1,985,800","2,382,200",83.4
20/06/1993,"1,977,000","2,382,200",83
25/06/1993,"1,970,500","2,382,200",82.7
30/06/1993,"1,961,800","2,382,200",82.4
5/07/1993,"1,955,700","2,382,200",82.1
10/07/1993,"1,957,900","2,382,200",82.2
15/07/1993,"1,955,400","2,382,200",82.1
20/07/1993,"1,952,700","2,382,200",82
25/07/1993,"1,944,600","2,382,200",81.6
31/07/1993,"1,942,700","2,382,200",81.6
5/08/1993,"1,940,600","2,382,200",81.5
10/08/1993,"1,938,400","2,382,200",81.4
15/08/1993,"1,931,600","2,382,200",81.1
20/08/1993,"1,925,400","2,382,200",80.8
25/08/1993,"1,918,600","2,382,200",80.5
31/08/1993,"1,911,900","2,382,200",80.3
5/09/1993,"1,909,700","2,382,200",80.2
10/09/1993,"1,903,600","2,382,200",79.9
15/09/1993,"1,937,300","2,382,200",81.3
20/09/1993,"1,952,500","2,382,200",82
25/09/1993,"1,946,300","2,382,200",81.7
30/09/1993,"1,939,200","2,382,200",81.4
5/10/1993,"1,938,000","2,382,200",81.4
10/10/1993,"1,933,300","2,382,200",81.2
15/10/1993,"1,929,500","2,382,200",81
20/10/1993,"1,924,300","2,382,200",80.8
25/10/1993,"1,919,900","2,382,200",80.6
31/10/1993,"1,911,300","2,382,200",80.2
5/11/1993,"1,904,400","2,382,200",79.9
10/11/1993,"1,896,600","2,382,200",79.6
15/11/1993,"1,886,600","2,382,200",79.2
20/11/1993,"1,884,600","2,382,200",79.1
25/11/1993,"1,883,400","2,382,200",79.1
30/11/1993,"1,871,500","2,382,200",78.6
5/12/1993,"1,867,600","2,382,200",78.4
10/12/1993,"1,859,500","2,382,200",78.1
15/12/1993,"1,853,300","2,382,200",77.8
20/12/1993,"1,842,700","2,382,200",77.4
25/12/1993,"1,832,200","2,382,200",76.9
31/12/1993,"1,815,900","2,382,200",76.2
5/01/1994,"1,801,300","2,382,200",75.6
10/01/1994,"1,783,700","2,382,200",74.9
15/01/1994,"1,771,600","2,382,200",74.4
20/01/1994,"1,759,900","2,382,200",73.9
25/01/1994,"1,750,200","2,382,200",73.5
31/01/1994,"1,729,100","2,382,200",72.6
5/02/1994,"1,718,900","2,382,200",72.2
10/02/1994,"1,709,400","2,382,200",71.8
15/02/1994,"1,718,300","2,382,200",72.1
20/02/1994,"1,713,100","2,382,200",71.9
25/02/1994,"1,706,600","2,382,200",71.6
28/02/1994,"1,699,700","2,382,200",71.4
5/03/1994,"1,690,900","2,382,200",71
10/03/1994,"1,698,200","2,382,200",71.3
15/03/1994,"1,697,100","2,382,200",71.2
20/03/1994,"1,690,100","2,382,200",70.9
25/03/1994,"1,683,300","2,382,200",70.7
31/03/1994,"1,677,100","2,382,200",70.4
5/04/1994,"1,671,100","2,382,200",70.1
10/04/1994,"1,663,500","2,382,200",69.8
15/04/1994,"1,683,500","2,382,200",70.7
20/04/1994,"1,697,600","2,382,200",71.3
25/04/1994,"1,694,600","2,382,200",71.1
